iter	Passed	Remaining
185	2192	7484
186	2204	7473
187	2216	7462
188	2227	7449
189	2240	7440
190	2252	7429
191	2264	7419
192	2275	7402
193	2286	7389
194	2297	7376
195	2309	7363
196	2320	7349
197	2330	7332
198	2341	7317
199	2352	7303
200	2362	7288
201	2375	7278
202	2385	7263
203	2397	7251
204	2410	7244
205	2420	7226
206	2431	7211
207	2460	7252
208	2471	7237
209	2482	7223
210	2494	7212
211	2506	7200
212	2517	7185
213	2530	7177
214	2540	7161
215	2552	7150
216	2563	7135
217	2574	7119
218	2584	7104
219	2595	7090
220	2605	7075
221	2618	7065
222	2629	7052
223	2641	7039
224	2653	7027
225	2664	7014
226	2690	7041
227	2701	7027
228	2714	7017
229	2725	7002
230	2735	6987
231	2747	6974
232	2757	6959
233	2769	6947
234	2780	6933
235	2792	6922
236	2804	6911
237	2817	6902
238	2830	6892
239	2841	6879
240	2852	6865
241	2863	6851
242	2874	6837
243	2885	6824
244	2897	6812
245	2908	6799
246	2921	6788
247	2932	6775
248	2943	6761
249	2953	6746
250	2965	6734
251	2979	6726
252	2989	6712
253	3001	6701
254	3013	6688
255	3026	6678
256	3037	6666
257	3048	6652
258	3060	6641
259	3072	6628
260	3083	6615
261	3094	6602
262	3105	6589
263	3116	6576
264	3128	6564
265	3140	6552
266	3152	6540
267	3163	6527
268	3174	6513
269	3186	6502
270	3197	6490
271	3209	6478
272	3221	6467
273	3232	6452
274	3243	6440
275	3255	6429
276	3267	6416
277	3277	6402
278	3288	6388
279	3299	6375
280	3310	6361
281	3321	6349
282	3332	6335
283	3344	6323
284	3355	6310
285	3367	6299
286	3378	6286
287	3391	6276
288	3401	6262
289	3412	6249
290	3423	6235
291	3434	6222
292	3445	6208
293	3456	6196
294	3470	6187
295	3483	6178
296	3494	6165
297	3505	6153
298	3517	6141
299	3530	6130
300	3541	6118
301	3552	6104
302	3562	6091
303	3573	6078
304	3585	6066
305	3597	6054
306	3608	6042
307	3619	6028
308	3630	6015
309	3642	6003
310	3653	5992
311	3664	5978
312	3676	5966
313	3686	5952
314	3697	5939
315	3709	5927
316	3722	5918
317	3733	5905
318	3744	5892
319	3755	5879
320	3767	5867
321	3779	5857
322	3790	5843
323	3797	5824
324	3808	5811
325	3820	5800
326	3831	5788
327	3842	5776
328	3856	5766
329	3867	5753
330	3877	5740
331	3889	5728
332	3901	5717
333	3912	5704
334	3922	5690
335	3933	5677
336	3945	5667
337	3957	5654
338	3968	5642
339	3980	5631
340	3991	5618
341	4002	5605
342	4014	5594
343	4024	5580
344	4036	5569
345	4049	5558
346	4060	5546
347	4070	5533
348	4082	5521
349	4093	5508
350	4104	5496
351	4116	5484
352	4127	5472
353	4138	5460
354	4151	5450
355	4162	5436
356	4172	5423
357	4184	5411
358	4195	5399
359	4206	5386
360	4216	5372
361	4228	5362
362	4240	5349
363	4251	5337
364	4261	5324
365	4273	5313
366	4286	5302
367	4296	5289
368	4307	5275
369	4317	5263
370	4328	5250
371	4339	5238
372	4351	5226
373	4362	5213
374	4373	5201
375	4384	5188
376	4394	5175
377	4412	5171
378	4425	5161
379	4437	5150
380	4450	5140
381	4464	5130
382	4478	5121
383	4489	5109
384	4500	5097
385	4513	5086
386	4524	5073
387	4536	5062
388	4546	5049
389	4558	5037
390	4570	5025
391	4581	5013
392	4592	5001
393	4603	4989
394	4614	4976
395	4626	4965
396	4638	4954
397	4649	4941
398	4661	4930
399	4672	4917
400	4683	4905
401	4694	4893
402	4705	4880
403	4715	4867
404	4726	4854
405	4737	4842
406	4747	4829
407	4759	4817
408	4770	4805
409	4782	4793
410	4793	4781
411	4804	4769
412	4813	4755
413	4824	4743
414	4835	4731
415	4847	4718
416	4857	4706
417	4869	4694
418	4882	4684
419	4894	4672
420	4905	4660
421	4915	4647
422	4927	4636
423	4940	4625
424	4952	4614
425	4963	4602
426	4976	4592
427	4987	4579
428	4998	4567
429	5009	4555
430	5021	4543
431	5032	4531
432	5044	4519
433	5055	4508
434	5066	4495
435	5078	4484
436	5089	4472
437	5101	4460
438	5112	4448
439	5123	4436
440	5135	4424
441	5146	4412
442	5157	4401
443	5169	4389
444	5179	4376
445	5192	4365
446	5204	4354
447	5215	4342
448	5227	4330
449	5238	4318
450	5249	4306
451	5259	4293
452	5270	4281
453	5283	4270
454	5294	4258
455	5305	4246
456	5315	4233
457	5326	4221
458	5336	4208
459	5349	4198
460	5361	4187
461	5374	4176
462	5386	4164
463	5397	4152
464	5408	4140
465	5419	4128
466	5431	4117
467	5442	4105
468	5453	4093
469	5465	4081
470	5476	4069
471	5487	4057
472	5498	4045
473	5509	4033
474	5519	4020
475	5531	4008
476	5542	3996
477	5553	3985
478	5564	3972
479	5575	3960
480	5588	3950
481	5599	3937
482	5610	3926
483	5621	3914
484	5633	3903
485	5644	3890
486	5655	3878
487	5665	3866
488	5677	3854
489	5689	3843
490	5700	3831
491	5712	3819
492	5722	3807
493	5733	3795
494	5744	3783
495	5756	3771
496	5767	3759
497	5777	3747
498	5789	3735
499	5801	3724
500	5813	3713
501	5823	3700
502	5834	3688
503	5845	3676
504	5856	3664
505	5869	3654
506	5881	3642
507	5893	3631
508	5904	3619
509	5915	3607
510	5925	3594
511	5937	3583
512	5949	3571
513	5960	3560
514	5971	3547
515	5983	3536
516	5995	3525
517	6005	3513
518	6017	3501
519	6028	3489
520	6039	3477
521	6050	3465
522	6061	3453
523	6073	3442
524	6084	3430
525	6096	3419
526	6109	3408
527	6119	3395
528	6130	3383
529	6142	3372
530	6152	3360
531	6163	3348
532	6176	3337
533	6188	3325
534	6200	3314
535	6211	3302
536	6238	3299
537	6249	3287
538	6259	3274
539	6270	3262
540	6281	3251
541	6294	3239
542	6304	3227
543	6316	3216
544	6327	3204
545	6339	3192
546	6350	3181
547	6362	3169
548	6374	3158
549	6384	3145
550	6397	3135
551	6407	3122
552	6418	3110
553	6428	3098
554	6439	3086
555	6451	3074
556	6462	3063
557	6473	3051
558	6485	3039
559	6496	3027
560	6507	3015
561	6519	3004
562	6530	2992
563	6542	2981
564	6553	2969
565	6567	2958
566	6580	2948
567	6591	2935
568	6601	2923
569	6615	2913
570	6626	2901
571	6637	2889
572	6648	2877
573	6658	2865
574	6669	2853
575	6681	2841
576	6693	2830
577	6704	2818
578	6716	2807
579	6726	2795
580	6739	2783
581	6750	2772
582	6762	2760
583	6773	2748
584	6783	2736
585	6794	2724
586	6806	2713
587	6816	2701
588	6828	2689
589	6839	2677
590	6851	2666
591	6862	2654
592	6873	2642
593	6885	2631
594	6899	2620
595	6911	2609
596	6923	2597
597	6935	2586
598	6947	2574
599	6958	2563
600	6970	2551
601	6981	2539
602	6992	2528
603	7003	2516
604	7014	2504
605	7025	2492
606	7038	2481
607	7048	2469
608	7061	2458
609	7071	2446
610	7082	2434
611	7094	2422
612	7104	2410
613	7116	2399
614	7127	2387
615	7138	2375
616	7149	2363
617	7160	2351
618	7171	2340
619	7182	2328
620	7194	2317
621	7205	2305
622	7216	2293
623	7228	2281
624	7240	2270
625	7251	2258
626	7262	2246
627	7274	2235
628	7285	2223
629	7313	2217
630	7325	2205
631	7336	2193
632	7346	2181
633	7357	2170
634	7368	2158
635	7379	2146
636	7389	2134
637	7400	2122
638	7411	2110
639	7421	2099
640	7432	2087
641	7443	2075
642	7455	2063
643	7466	2052
644	7477	2040
645	7489	2028
646	7500	2017
647	7512	2005
648	7523	1993
649	7535	1982
650	7546	1970
651	7557	1958
652	7570	1947
653	7581	1936
654	7593	1924
655	7605	1912
656	7617	1901
657	7627	1889
658	7638	1877
659	7649	1865
660	7660	1854
661	7672	1842
662	7682	1830
663	7693	1819
664	7703	1807
665	7714	1795
666	7724	1783
667	7735	1771
668	7746	1759
669	7757	1748
670	7779	1739
671	7790	1727
672	7832	1722
673	7844	1710
674	7855	1699
675	7867	1687
676	7878	1675
677	7889	1664
678	7901	1652
679	7911	1640
680	7924	1629
681	7935	1617
682	7946	1605
683	7957	1593
684	7970	1582
685	7981	1570
686	7993	1559
687	8004	1547
688	8014	1535
689	8025	1523
690	8036	1511
691	8048	1500
692	8058	1488
693	8070	1476
694	8081	1465
695	8093	1453
696	8104	1441
697	8115	1430
698	8127	1418
699	8138	1406
700	8150	1395
701	8161	1383
702	8173	1371
703	8185	1360
704	8196	1348
705	8208	1337
706	8219	1325
707	8230	1313
708	8241	1301
709	8253	1290
710	8264	1278
711	8277	1267
712	8288	1255
713	8299	1243
714	8311	1232
715	8322	1220
716	8333	1208
717	8345	1197
718	8357	1185
719	8368	1173
720	8379	1162
721	8390	1150
722	8401	1138
723	8413	1127
724	8425	1115
725	8437	1104
726	8474	1095
727	8486	1084
728	8498	1072
729	8512	1061
730	8523	1049
731	8534	1037
732	8549	1026
733	8560	1014
734	8572	1003
735	8585	991
736	8597	979
737	8608	968
738	8619	956
739	8631	944
740	8642	933
741	8652	921
742	8663	909
743	8673	897
744	8684	885
745	8695	874
746	8706	862
747	8718	850
748	8729	839
749	8740	827
750	8752	815
751	8763	804
752	8774	792
753	8785	780
754	8797	769
755	8810	757
756	8821	745
757	8833	734
758	8844	722
759	8858	710
760	8869	699
761	8881	687
762	8891	675
763	8903	664
764	8915	652
765	8926	640
766	8939	629
767	8951	617
768	8963	606
769	8974	594
770	8987	582
771	8997	571
772	9009	559
773	9023	547
774	9034	536
775	9045	524
776	9056	512
777	9067	501
778	9079	489
779	9090	477
780	9101	466
781	9113	454
782	9123	442
783	9147	431
784	9158	420
785	9169	408
786	9181	396
787	9193	385
788	9205	373
789	9216	361
790	9227	349
791	9238	338
792	9250	326
793	9260	314
794	9272	303
795	9283	291
796	9296	279
797	9309	268
798	9321	256
799	9334	245
800	9347	233
801	9359	221
802	9370	210
803	9382	198
804	9392	186
805	9404	175
806	9414	163
807	9426	151
808	9436	139
809	9447	128
810	9460	116
811	9471	104
812	9484	93
813	9495	81
814	9507	69
815	9518	58
816	9529	46
817	9540	34
818	9552	23
819	9564	11
820	9575	0
