iter	RMSE
133	1.133135258
134	1.130003139
135	1.125384069
136	1.121384511
137	1.11359796
138	1.10378593
139	1.099775279
140	1.097344669
141	1.091768373
142	1.089474634
143	1.08638828
144	1.082784448
145	1.073739762
146	1.070105615
147	1.066904619
148	1.060830129
149	1.05640143
150	1.052407424
151	1.049821225
152	1.044273408
153	1.040541304
154	1.037249354
155	1.033281351
156	1.029041483
157	1.025738042
158	1.021107216
159	1.017237113
160	1.014875498
161	1.010260451
162	1.00743177
163	1.002591087
164	1.000003409
165	0.9951308257
166	0.9904488833
167	0.987456586
168	0.9842165626
169	0.9824263666
170	0.9759015678
171	0.9725198498
172	0.9659322314
173	0.9638435335
174	0.9609662714
175	0.9563414824
176	0.9526171825
177	0.9482063823
178	0.9452989476
179	0.9430303026
180	0.9407652189
181	0.9378239994
182	0.9356627342
183	0.932981527
184	0.9302280105
185	0.9274267699
186	0.9247462982
187	0.9227941237
188	0.9203900268
189	0.9174342499
190	0.9148429675
191	0.9122387206
192	0.9091032916
193	0.9058762772
194	0.9026328708
195	0.9002742685
196	0.8958960671
197	0.8927959923
198	0.8909291699
199	0.8869394664
200	0.8851935601
201	0.8807224212
202	0.8782884029
203	0.8766120137
204	0.8717772087
205	0.8697829959
206	0.865539691
207	0.8621448612
208	0.8601877671
209	0.8579617424
210	0.8559494699
211	0.8537971788
212	0.8518935674
213	0.8494344774
214	0.8462582008
215	0.8432861222
216	0.8421202113
217	0.8397536303
218	0.8372051912
219	0.8346699901
220	0.832968906
221	0.8302281284
222	0.8283470324
223	0.8260969941
224	0.8221802679
225	0.8208410828
226	0.8189358501
227	0.8177086975
228	0.8150214159
229	0.811730044
230	0.8100669806
231	0.8070323324
232	0.8055338384
233	0.8041624574
234	0.8025791188
235	0.800959272
236	0.7991647015
237	0.7970738681
238	0.7959943733
239	0.7925987209
240	0.7908428693
241	0.7887737347
242	0.7858507837
243	0.7808641048
244	0.7789589842
245	0.777170875
246	0.7752853071
247	0.7726875276
248	0.770835667
249	0.7687396023
250	0.7670927232
251	0.7654640512
252	0.7630172021
253	0.7605839536
254	0.7583279685
255	0.755287202
256	0.7526889266
257	0.7511375475
258	0.7493099216
259	0.7477728649
260	0.7464998422
261	0.7454354591
262	0.7438992256
263	0.7430547821
264	0.7411077691
265	0.7385434828
266	0.7355285655
267	0.7340410126
268	0.7328010309
269	0.7307124375
270	0.7283052225
271	0.7264468269
272	0.7252039666
273	0.7241376215
274	0.7204312579
275	0.718991153
276	0.717809023
277	0.7164956824
278	0.713441973
279	0.7116990146
280	0.7088379561
281	0.7073035665
282	0.7061014281
283	0.7032879706
284	0.7002642991
285	0.6980965753
286	0.6954489067
287	0.6943522511
288	0.6915265446
289	0.6892603749
290	0.6856512643
291	0.6846409052
292	0.6838180349
293	0.6808448602
294	0.6793338882
295	0.6774709661
296	0.6764771332
297	0.6753034692
298	0.6734436505
299	0.6726591588
300	0.6716150897
301	0.6706973088
302	0.668403641
303	0.6670102776
304	0.6656506971
305	0.6641234865
306	0.6620997424
307	0.6600321177
308	0.6589783105
309	0.6582518093
310	0.6560645112
311	0.6542675722
312	0.6534650261
313	0.6521027945
314	0.650676259
315	0.6495299618
316	0.6481896661
317	0.6467570912
318	0.6455964663
319	0.6446876903
320	0.6435365543
321	0.6416764648
322	0.6407983761
323	0.6401466155
324	0.6385415746
325	0.6373274401
326	0.636013234
327	0.6352024891
328	0.6342135933
329	0.6326831102
330	0.6309026627
331	0.6293135168
332	0.6282879557
333	0.6269351912
334	0.6262683341
335	0.6248870493
336	0.6237631595
337	0.6231112831
338	0.6220662264
339	0.6206745845
340	0.6198447928
341	0.6180819762
342	0.6173590841
343	0.6163557373
344	0.6153698798
345	0.6136772325
346	0.6127400964
347	0.6112834404
348	0.610491852
349	0.6084688509
350	0.6072216142
351	0.6065293594
352	0.6054143062
353	0.6030211678
354	0.6022435428
355	0.6010865401
356	0.6003003824
357	0.5989703082
358	0.5977487378
359	0.5963031474
360	0.5954183984
361	0.5943285489
362	0.5930815673
363	0.591887323
364	0.5904894158
365	0.5895165695
366	0.5889366437
367	0.5880185589
368	0.5869589245
369	0.5859571627
370	0.5852438952
371	0.5842545234
372	0.5831719255
373	0.5815365229
374	0.5806686787
375	0.5792405124
376	0.5773530996
377	0.5762701821
378	0.5757558417
379	0.5747845059
380	0.5739069269
381	0.5727626534
382	0.5722292334
383	0.571440149
384	0.5698376742
385	0.5688748772
386	0.567997878
387	0.567460826
388	0.5669697485
389	0.5660841093
390	0.5651317428
391	0.5642045466
392	0.5636013046
393	0.562498234
394	0.5620567438
395	0.5602730638
396	0.558628528
397	0.55727319
398	0.5565241423
399	0.5555398078
400	0.5549308022
401	0.5539018407
402	0.5531978303
403	0.5525126773
404	0.5515218657
405	0.5509156064
406	0.5499941009
407	0.5489325687
408	0.5483214595
409	0.5473675841
410	0.5455348437
411	0.5441648852
412	0.5433364495
413	0.5426830549
414	0.5422137775
415	0.5412734098
416	0.5396709892
417	0.5390607233
418	0.5380946916
419	0.536579716
420	0.5360911149
421	0.5343414602
422	0.5335117359
423	0.5325593117
424	0.5307442079
425	0.5297544748
426	0.5289723051
427	0.5276994131
428	0.52664711
429	0.5254696087
430	0.5243822113
431	0.5232704836
432	0.5227377111
433	0.5215839612
434	0.5209284841
435	0.5202729545
436	0.5195107084
437	0.5186750691
438	0.5182717742
439	0.5172290465
440	0.5166952222
441	0.5153038477
442	0.5144143677
443	0.5137675701
444	0.5130566214
445	0.5119988898
446	0.5112039374
447	0.5104221849
448	0.5085976716
449	0.5078534708
450	0.5063306753
451	0.5058369145
452	0.5051466303
453	0.5043706018
454	0.5033170631
455	0.5024722711
456	0.5023121911
457	0.5011536686
458	0.5003738448
459	0.499825144
460	0.4992437464
461	0.4986106165
462	0.4982222454
463	0.4969439276
464	0.4962182087
465	0.4956052243
466	0.494232221
467	0.4933566678
468	0.492682415
469	0.4920295795
470	0.491190134
471	0.4902756674
472	0.489141438
473	0.4884776542
474	0.4873450305
475	0.4862090306
476	0.4855567693
477	0.4846802282
478	0.4837224329
479	0.482703044
480	0.4819727797
481	0.4812760488
482	0.4798893992
483	0.4789496823
484	0.4780054418
485	0.4774800555
486	0.476692468
487	0.4761132935
488	0.4756179887
489	0.4742976895
490	0.4736346772
491	0.4726724235
492	0.4722196212
493	0.4717719342
494	0.4711409376
495	0.4702647629
496	0.4695879272
497	0.4685906773
498	0.4669747291
499	0.4663282919
500	0.4656498796
501	0.464854326
502	0.4642907288
503	0.4634767566
504	0.4631398576
505	0.4623964091
506	0.4618496515
507	0.4606252158
508	0.4598620644
509	0.4594417338
510	0.4589076856
511	0.4579218123
512	0.4569096791
513	0.4564210319
514	0.4553385898
515	0.4546024671
516	0.4537570825
517	0.4526419138
518	0.4514937724
519	0.4504706228
520	0.4499341458
521	0.4492221692
522	0.4485907069
523	0.447658125
524	0.4467324446
525	0.4459382201
526	0.4454715895
527	0.4446429502
528	0.4439331368
529	0.4431644254
530	0.4427459911
531	0.442177908
532	0.4418551747
533	0.4413599486
534	0.4407964506
535	0.4400897552
536	0.4395070418
537	0.4388955422
538	0.4384045823
539	0.4379294173
540	0.4370171905
541	0.4365206133
542	0.4355053098
543	0.4350048458
544	0.4345038831
545	0.4337802612
546	0.4331721477
547	0.4325294739
548	0.4314873797
549	0.430958453
550	0.4302815628
551	0.4297217848
552	0.4294376328
553	0.4287517456
554	0.4282193966
555	0.4276070277
556	0.4268241313
557	0.4261852567
558	0.4255171598
559	0.4251049401
560	0.4243457672
561	0.4239106355
562	0.4234793673
563	0.4229938476
564	0.4225188478
565	0.4218723366
566	0.4207798373
567	0.4202211018
568	0.4195674051
569	0.418228473
570	0.4176872949
571	0.4172431333
572	0.4167023751
573	0.4161820797
574	0.4155136746
575	0.415013409
576	0.4143238664
577	0.4140267197
578	0.4132988852
579	0.412760597
580	0.4123610896
581	0.4117759754
582	0.4110147491
583	0.4104118975
584	0.4098419792
585	0.4090124788
586	0.4084263309
587	0.4074955625
588	0.4072180268
589	0.4069323435
590	0.4066199264
591	0.4058220764
592	0.4053946914
593	0.4043584148
594	0.4036648535
595	0.402961674
596	0.4024276037
597	0.4020839827
598	0.400962056
599	0.4002804949
600	0.3997310219
601	0.3990899637
602	0.3984338475
603	0.3980267076
604	0.3973908007
605	0.3966342488
606	0.396153499
607	0.3956434295
608	0.3952983003
609	0.3948990984
610	0.3943815374
611	0.3940428328
612	0.3938226915
613	0.3932430729
614	0.3924898428
615	0.3916012159
616	0.3911880062
617	0.390701177
618	0.3902281193
619	0.3898046468
620	0.3894820483
621	0.3888793566
622	0.3878740084
623	0.3872516876
624	0.386019766
625	0.3857240671
626	0.3851884492
627	0.3847660771
628	0.3844613891
629	0.3838624998
630	0.3832533035
631	0.3827619253
632	0.382336435
633	0.3818685716
634	0.3816170271
635	0.38121791
636	0.3807727637
637	0.3804116611
638	0.3801940209
639	0.3796502777
640	0.3793531463
641	0.3788683232
642	0.3784606697
643	0.3779523362
644	0.3776639827
645	0.3773757339
646	0.3769629808
647	0.3765690227
648	0.3760926837
649	0.3757159096
650	0.3754632932
651	0.3750184318
652	0.3748121271
653	0.374277362
654	0.3738137118
655	0.373061437
656	0.3726433713
657	0.3721181847
658	0.371785305
659	0.3714476639
660	0.3709316272
661	0.3705604988
662	0.3702959294
663	0.369658053
664	0.369176023
665	0.3688219475
666	0.3677605876
667	0.3675688172
668	0.3672556107
669	0.3666912178
670	0.3664384938
671	0.3658818456
672	0.3654419402
673	0.3648059228
674	0.3645292732
675	0.3640573915
676	0.3637887718
677	0.3632083008
678	0.3628901676
679	0.3624232696
680	0.3615508196
681	0.3609894581
682	0.3605135133
683	0.3600571293
684	0.3596796329
685	0.3593180836
686	0.3588741676
687	0.3581833944
688	0.3578955438
689	0.3573289992
690	0.3568011292
691	0.3565752296
692	0.3558909093
693	0.3555047281
694	0.35504157
695	0.3547752861
696	0.3543243803
697	0.3535917888
698	0.353171685
699	0.3526881003
700	0.3519989739
701	0.351785829
702	0.3513138243
703	0.3508118607
704	0.3503671812
705	0.3499329944
706	0.3490636599
707	0.3484359975
708	0.348019954
709	0.3476646064
710	0.34709749
711	0.3465774718
712	0.3461314039
713	0.3459757788
714	0.3453706874
715	0.3442336861
716	0.3433180087
717	0.3427169148
718	0.3423839481
719	0.3420318394
720	0.3414875974
721	0.3411651481
722	0.3408350265
723	0.3403543446
724	0.3398848924
725	0.3395029316
726	0.3391102081
727	0.3383542779
728	0.3378545571
729	0.3374507135
730	0.3369412787
731	0.336610252
732	0.336307638
733	0.3357002521
734	0.3352485078
735	0.3348627771
736	0.3344397242
737	0.3338335254
738	0.3335616218
739	0.3332900002
740	0.333032631
741	0.3327548612
742	0.3324748153
743	0.3319764614
744	0.3311515564
745	0.3308977938
746	0.3303809116
747	0.3300884099
748	0.3296973372
749	0.3291763016
750	0.3287395072
751	0.3282368938
752	0.3278745122
753	0.3275955747
754	0.3272185926
755	0.3268914953
756	0.3262945755
757	0.3260275337
758	0.3256313563
759	0.3253558054
760	0.3248007458
761	0.3239557572
762	0.3236264427
763	0.3229007777
764	0.3225954932
765	0.3220884234
766	0.321727589
767	0.3213199061
768	0.3209863009
769	0.3206988077
770	0.3202566274
771	0.3199635843
772	0.3195653015
773	0.3188143885
774	0.3182525043
775	0.317954001
776	0.3174157591
777	0.3170666287
778	0.3168374344
779	0.3162897901
780	0.3159629121
781	0.3156164385
782	0.3152611971
783	0.3149994912
784	0.3146631993
785	0.3144660105
786	0.3141242916
787	0.3138619181
788	0.3133592377
789	0.3129839461
790	0.3124561441
791	0.3122749692
792	0.3119647678
793	0.3114236663
794	0.3110332194
795	0.3106645899
796	0.3101873418
797	0.3099204209
798	0.3095763293
799	0.3091550513
800	0.3089393954
801	0.3086664069
802	0.3084134613
803	0.3079580302
804	0.3075517823
805	0.3073081377
806	0.3069863372
807	0.3066368176
808	0.306468977
809	0.3061039341
810	0.3055159729
811	0.3051839469
812	0.3045082935
813	0.3038452627
814	0.3032014365
815	0.3029923631
816	0.3027473296
817	0.3024146268
818	0.3021100171
819	0.3017044281
820	0.3014963149
